date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:51:55	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20Nov%202023%2003:51:56%20GMT	https://dexico.templatekit.co/template-kit/agents	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/template-kit/agents	(from https://dexico.templatekit.co/)
10:51:56	158046/158046	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Nov%202023%2022:04:50%20GMT	https://dexico.templatekit.co/template-kit/agents/	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/template-kit/agents/index.html	(from https://dexico.templatekit.co/)
10:51:56	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20Nov%202023%2003:51:57%20GMT	https://dexico.templatekit.co/template-kit/agent-details	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/template-kit/agent-details	(from https://dexico.templatekit.co/)
10:51:57	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20Nov%202023%2003:51:58%20GMT	https://dexico.templatekit.co/template-kit/about-us	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/template-kit/about-us	(from https://dexico.templatekit.co/)
10:51:57	154115/154115	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Nov%202023%2021:08:06%20GMT	https://dexico.templatekit.co/template-kit/agent-details/	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/template-kit/agent-details/index.html	(from https://dexico.templatekit.co/)
10:51:58	189607/189607	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Nov%202023%2021:08:08%20GMT	https://dexico.templatekit.co/template-kit/about-us/	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/template-kit/about-us/index.html	(from https://dexico.templatekit.co/)
10:51:58	84327/84327	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Nov%202023%2003:51:59%20GMT	https://dexico.templatekit.co/template-kit/oops	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/template-kit/oops	(from https://dexico.templatekit.co/)
10:51:59	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20Nov%202023%2003:52:00%20GMT	https://dexico.templatekit.co/template-kit/contacts	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/template-kit/contacts	(from https://dexico.templatekit.co/)
10:51:59	150134/150134	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Nov%202023%2021:08:10%20GMT	https://dexico.templatekit.co/category/dexico-company/	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/category/dexico-company/index.html	(from https://dexico.templatekit.co/)
10:51:59	149275/149275	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Nov%202023%2003:45:14%20GMT	https://dexico.templatekit.co/2020/08/15/oh-mamma-im-in-love-with-gradient/	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/2020/08/15/oh-mamma-im-in-love-with-gradient/index.html	(from https://dexico.templatekit.co/)
10:52:00	136943/136943	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Nov%202023%2021:08:07%20GMT	https://dexico.templatekit.co/template-kit/contacts/	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/template-kit/contacts/index.html	(from https://dexico.templatekit.co/)
10:52:00	9980/9980	---MCZ	200	added ('OK')	text/css	date:Thu,%2009%20Nov%202023%2012:05:41%20GMT	https://dexico.templatekit.co/wp-content/plugins/elementor-pro/assets/css/widget-theme-elements.min.css	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/wp-content/plugins/elementor-pro/assets/css/widget-theme-elements.min.css	(from https://dexico.templatekit.co/)
10:52:01	9921/9921	---MCZ	200	added ('OK')	text/css	date:Thu,%2009%20Nov%202023%2003:54:18%20GMT	https://dexico.templatekit.co/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	(from https://dexico.templatekit.co/)
10:52:02	130544/130544	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Nov%202021%2014:34:13%20GMT	https://dexico.templatekit.co/wp-content/uploads/sites/26/2020/09/floral-bedroom-interior-with-mockup-768x1152.jpg	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/wp-content/uploads/sites/26/2020/09/floral-bedroom-interior-with-mockup-768x1152.jpg	(from https://dexico.templatekit.co/)
10:52:02	283/283	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Nov%202021%2014:34:11%20GMT	https://dexico.templatekit.co/wp-content/uploads/sites/26/2020/09/bed.png	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/wp-content/uploads/sites/26/2020/09/bed.png	(from https://dexico.templatekit.co/)
10:52:02	154/154	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Nov%202021%2014:34:11%20GMT	https://dexico.templatekit.co/wp-content/uploads/sites/26/2020/09/crop.png	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/wp-content/uploads/sites/26/2020/09/crop.png	(from https://dexico.templatekit.co/)
10:52:03	113485/113485	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Nov%202021%2014:34:12%20GMT	https://dexico.templatekit.co/wp-content/uploads/sites/26/2020/09/hotel-interior-768x1152.jpg	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/wp-content/uploads/sites/26/2020/09/hotel-interior-768x1152.jpg	(from https://dexico.templatekit.co/)
10:52:04	68274/68274	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Nov%202021%2014:34:04%20GMT	https://dexico.templatekit.co/wp-content/uploads/sites/26/2020/09/luxurious-dark-interior-with-bed-768x512.jpg	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/wp-content/uploads/sites/26/2020/09/luxurious-dark-interior-with-bed-768x512.jpg	(from https://dexico.templatekit.co/)
10:52:04	118018/118018	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Nov%202021%2014:34:13%20GMT	https://dexico.templatekit.co/wp-content/uploads/sites/26/2020/09/grey-scandi-workspace-interior-768x1152.jpg	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/wp-content/uploads/sites/26/2020/09/grey-scandi-workspace-interior-768x1152.jpg	(from https://dexico.templatekit.co/)
10:52:05	88772/88772	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Nov%202021%2014:34:07%20GMT	https://dexico.templatekit.co/wp-content/uploads/sites/26/2020/09/grey-pillows-on-wooden-bed-in-dark-bedroom-interior-with-lamps-a-768x512.jpg	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/wp-content/uploads/sites/26/2020/09/grey-pillows-on-wooden-bed-in-dark-bedroom-interior-with-lamps-a-768x512.jpg	(from https://dexico.templatekit.co/)
10:52:05	79434/79434	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Nov%202021%2014:34:05%20GMT	https://dexico.templatekit.co/wp-content/uploads/sites/26/2020/09/gold-and-grey-elegant-bedroom-768x512.jpg	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/wp-content/uploads/sites/26/2020/09/gold-and-grey-elegant-bedroom-768x512.jpg	(from https://dexico.templatekit.co/)
10:52:06	51933/51933	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Nov%202021%2014:34:08%20GMT	https://dexico.templatekit.co/wp-content/uploads/sites/26/2020/09/real-photo-of-a-retro-gray-armchair-and-wooden-cabinet-against-a-768x512.jpg	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/wp-content/uploads/sites/26/2020/09/real-photo-of-a-retro-gray-armchair-and-wooden-cabinet-against-a-768x512.jpg	(from https://dexico.templatekit.co/)
